key, value, date
Europe, 99618, 1820
Europe, 422853, 1830
Europe, 1369423, 1840
Europe, 2622617, 1850
Europe, 1880389, 1860
Europe, 2252050, 1870
Europe, 4638684, 1880
Europe, 3576411, 1890
Europe, 7572569, 1900
Europe, 4985411, 1910
Europe, 2560340, 1920
Europe, 444404, 1930
Europe, 472524, 1940
Europe, 1404973, 1950
Europe, 1133443, 1960
Europe, 826327, 1970
Europe, 669694, 1980
Europe, 1349219, 1990
Europe, 1349609, 2000
Europe, 95429, 2010
Europe, 90712, 2011
Europe, 86956, 2012
Europe, 91095, 2013
Austria-Hungary, 0, 1820
Austria-Hungary, 0, 1830
Austria-Hungary, 0, 1840
Austria-Hungary, 0, 1850
Austria-Hungary, 3375, 1860
Austria-Hungary, 60127, 1870
Austria-Hungary, 314787, 1880
Austria-Hungary, 534059, 1890
Austria-Hungary, 2001376, 1900
Austria-Hungary, 1154727, 1910
Austria-Hungary, 60891, 1920
Austria-Hungary, 13902, 1930
Austria-Hungary, 13677, 1940
Austria-Hungary, 113015, 1950
Austria-Hungary, 27590, 1960
Austria-Hungary, 20387, 1970
Austria-Hungary, 20437, 1980
Austria-Hungary, 27529, 1990
Austria-Hungary, 33929, 2000
Austria-Hungary, 4325, 2010
Austria-Hungary, 4703, 2011
Austria-Hungary, 3208, 2012
Austria-Hungary, 2061, 2013
Austria, 0, 1820
Austria, 0, 1830
Austria, 0, 1840
Austria, 0, 1850
Austria, 2700, 1860
Austria, 54529, 1870
Austria, 204805, 1880
Austria, 268218, 1890
Austria, 532416, 1900
Austria, 589174, 1910
Austria, 31392, 1920
Austria, 6678, 1930
Austria, 8496, 1940
Austria, 81354, 1950
Austria, 17571, 1960
Austria, 14239, 1970
Austria, 15374, 1980
Austria, 18234, 1990
Austria, 21151, 2000
Austria, 3319, 2010
Austria, 3654, 2011
Austria, 2199, 2012
Austria, 1053, 2013
Hungary, 0, 1820
Hungary, 0, 1830
Hungary, 0, 1840
Hungary, 0, 1850
Hungary, 483, 1860
Hungary, 5598, 1870
Hungary, 109982, 1880
Hungary, 203350, 1890
Hungary, 685567, 1900
Hungary, 565553, 1910
Hungary, 29499, 1920
Hungary, 7224, 1930
Hungary, 5181, 1940
Hungary, 31661, 1950
Hungary, 10019, 1960
Hungary, 6148, 1970
Hungary, 5063, 1980
Hungary, 9295, 1990
Hungary, 12778, 2000
Hungary, 1006, 2010
Hungary, 1049, 2011
Hungary, 1009, 2012
Hungary, 1008, 2013
Belgium, 28, 1820
Belgium, 20, 1830
Belgium, 3996, 1840
Belgium, 5765, 1850
Belgium, 5785, 1860
Belgium, 6991, 1870
Belgium, 18738, 1880
Belgium, 19642, 1890
Belgium, 37429, 1900
Belgium, 32574, 1910
Belgium, 21511, 1920
Belgium, 4013, 1930
Belgium, 12473, 1940
